,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
79,2015,All My Friends (feat. Tinashe & Chance the Rapper),All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,2015-10-21,229746,71,0.12,0.681,0.521,8.41e-05,0.108,-5.849,0.141,94.997,4
80,2015,High By The Beach,Honeymoon,Lana Del Rey,2015-09-18,257573,70,0.244,0.536,0.486,0.00788,0.12,-11.067,0.0346,131.988,4
81,2015,Let It Go,Chaos And The Calm,James Bay,2014-12-15,260533,70,0.818,0.546,0.311,1.65e-05,0.107,-10.396,0.0288,147.464,4
82,2015,Five More Hours,Good Evening,Deorro,2017-03-31,211975,70,0.0288,0.699,0.883,0.0,0.817,-3.226,0.219,127.961,4
83,2015,I Really Like You,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,204763,70,0.00564,0.62,0.805,9.15e-05,0.285,-5.538,0.0417,122.062,4
84,2015,GDFR (feat. Sage the Gemini & Lookas),My House,Flo Rida,2015-04-07,190185,70,0.000704,0.657,0.827,0.00534,0.065,-4.036,0.0734,145.889,4
85,2015,Love Myself,HAIZ,Hailee Steinfeld,2016-02-26,218773,70,0.0026,0.617,0.759,0.0,0.419,-6.785,0.0678,122.924,4
86,2015,Here,Know-It-All,Alessia Cara,2015-11-13,199453,70,0.0785,0.376,0.821,0.0,0.0823,-3.974,0.104,120.462,4
87,2015,Post to Be (feat. Chris Brown & Jhene Aiko),Sex Playlist,Omarion,2014-12-02,226580,69,0.0697,0.733,0.676,0.0,0.208,-5.655,0.0432,97.448,4
88,2015,Sunset Lover,Sunset Lover,Petit Biscuit,2015,237792,69,0.729,0.783,0.467,0.809,0.109,-9.474,0.0503,90.838,4
89,2015,You Know You Like It,You Know You Like It,DJ Snake,2014-10-14,247266,69,0.0141,0.407,0.725,2.46e-06,0.306,-5.346,0.188,196.093,4
90,2015,7/11,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,213506,69,0.0128,0.747,0.705,0.0,0.126,-5.137,0.126,136.024,4
91,2015,Slow Motion,Trigga Reloaded,Trey Songz,2015-06-23,197854,69,0.679,0.733,0.408,3.92e-05,0.11,-7.834,0.0388,94.947,4
92,2015,All Eyes on You (feat. Chris Brown & Nicki Minaj),Dreams Worth More Than Money,Meek Mill,2015-06-29,223973,69,0.0242,0.589,0.658,0.0,0.118,-5.288,0.203,77.521,4
93,2015,Water Under the Bridge,25,Adele,2015-11-20,240439,69,0.0142,0.59,0.833,5.4e-06,0.105,-6.503,0.0615,94.963,4
94,2015,Let It All Go,Let It All Go,Birdy,2015-08-06,280757,67,0.817,0.383,0.43,1.04e-06,0.0869,-8.644,0.0302,107.005,4
95,2015,"Writing's On The Wall - From ""Spectre"" Soundtrack",Writing's On The Wall,Sam Smith,2015-09-25,278987,67,0.769,0.261,0.302,2.57e-06,0.0863,-8.19,0.0339,81.418,3
96,2015,Somebody,Somebody,Natalie La Rose,2014-01-06,189906,67,0.000792,0.83,0.52,1.25e-05,0.0656,-8.714,0.0376,104.99,4
97,2015,Talking Body,Queen Of The Clouds,Tove Lo,2014-09-24,238426,67,0.0966,0.736,0.761,0.0,0.0823,-5.449,0.0338,119.999,4
98,2015,I Don't Mind (feat. Juicy J),I Don't Mind (feat. Juicy J),Usher,2014-11-21,251989,67,0.205,0.87,0.464,0.0,0.0902,-8.337,0.178,112.974,4
99,2015,Light It Up - Remix,Peace Is The Mission (Extended),Major Lazer,2015-11-27,166138,67,0.0375,0.747,0.877,0.000833,0.233,-3.782,0.0664,107.991,4
0,2016,Starboy,Starboy,The Weeknd,2016-11-25,230453,90,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,4
1,2016,One Dance,Views,Drake,2016-05-06,173986,85,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.0536,103.967,4
2,2016,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,84,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4
3,2016,Closer,Closer,The Chainsmokers,2016-07-29,244960,84,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4
4,2016,Hello,25,Adele,2015-11-20,295502,73,0.33,0.578,0.43,0.0,0.0854,-6.134,0.0305,78.991,4
5,2016,Panda,New English,Desiigner,2016-06-26,246761,70,0.028,0.576,0.766,1.68e-06,0.366,-4.943,0.449,144.833,4
6,2016,Pink + White,Blonde,Frank Ocean,2016-08-20,184516,86,0.667,0.545,0.545,5.48e-05,0.417,-7.362,0.107,159.94,3
7,2016,Cheap Thrills (feat. Sean Paul),Cheap Thrills (feat. Sean Paul),Sia,2016-02-11,224813,68,0.0561,0.592,0.8,2.01e-06,0.0775,-4.931,0.215,89.972,4
8,2016,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,84,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,82.695,4
9,2016,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,76,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4
10,2016,Hymn for the Weekend,A Head Full of Dreams,Coldplay,2015-12-04,258266,84,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4
11,2016,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,81,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
12,2016,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,2016-09-23,237546,72,0.0106,0.669,0.832,0.0,0.0968,-5.721,0.0682,113.035,4
13,2016,Don't,T R A P S O U L,Bryson Tiller,2015-10-02,198293,84,0.223,0.765,0.356,0.0,0.0963,-5.556,0.195,96.991,4
14,2016,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,83,0.0863,0.649,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4
15,2016,Wait a Minute!,ARDIPITHECUS,WILLOW,2015-01-11,196520,83,0.0371,0.764,0.705,1.94e-05,0.0943,-5.279,0.0278,101.003,4
16,2016,Ride,Blurryface,Twenty One Pilots,2015-05-15,214506,82,0.00835,0.645,0.713,0.0,0.113,-5.355,0.0393,74.989,4
17,2016,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,191600,82,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4
18,2016,This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,222160,81,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,4
19,2016,NO,Thank You (Deluxe Version),Meghan Trainor,2017-05-12,213506,81,0.0124,0.557,0.803,1.61e-06,0.737,-3.599,0.213,92.134,4
20,2016,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,81,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,4
21,2016,Dancing On My Own,Only Human (Deluxe),Calum Scott,2018-03-09,260285,80,0.837,0.681,0.174,3.35e-05,0.0983,-8.745,0.0315,112.672,4
22,2016,7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,80,0.287,0.765,0.473,0.0,0.391,-5.829,0.0514,119.992,4
23,2016,Heathens,Heathens,Twenty One Pilots,2016-06-16,195920,81,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4
24,2016,In the Name of Love,In the Name of Love,Martin Garrix,2016-07-29,195706,80,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,133.99,4
25,2016,Don't Let Me Down,Don't Let Me Down,The Chainsmokers,2016-02-05,208373,80,0.157,0.532,0.869,0.00508,0.136,-5.094,0.172,159.803,4
26,2016,Faded,Different World,Alan Walker,2018-12-14,212106,80,0.0281,0.468,0.627,7.97e-06,0.11,-5.085,0.0476,179.642,4
27,2016,Can I Be Him,Back from the Edge,James Arthur,2016-10-28,246880,79,0.308,0.696,0.543,0.0,0.0939,-6.164,0.0489,107.969,4
28,2016,Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,194613,78,0.107,0.525,0.433,0.0,0.135,-10.598,0.185,160.108,4
29,2016,Adventure of a Lifetime,A Head Full of Dreams,Coldplay,2015-12-04,263786,78,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4
30,2016,Hotline Bling,Views,Drake,2016-05-06,267066,78,0.00258,0.891,0.628,0.00019,0.0504,-7.863,0.0551,134.966,4
31,2016,"Me, Myself & I",When It's Dark Out,G-Eazy,2015-12-04,251466,78,0.0184,0.756,0.674,0.0,0.158,-6.518,0.0959,111.995,4
32,2016,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016-05-06,197933,78,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,4
