,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
55,2016,Something New,Something New,Zendaya,2016-02-03,212906,59,0.104,0.469,0.773,0.0,0.0753,-4.741,0.196,204.103,4
56,2016,Wild Things,Know-It-All (Deluxe),Alessia Cara,2015-11-13,188493,2,0.02,0.741,0.626,0.0,0.0828,-4.826,0.0886,108.029,4
57,2016,Company,Purpose (Deluxe),Justin Bieber,2015-11-13,208120,70,0.132,0.59,0.797,0.0,0.0846,-4.901,0.0614,94.948,4
58,2016,Same Old Love,Revival (Deluxe),Selena Gomez,2015-10-09,229080,67,0.0223,0.672,0.593,0.0,0.214,-4.01,0.0304,98.02,4
59,2016,Good For You,Good For You,Selena Gomez,2015-08-07,221560,58,0.179,0.605,0.678,0.0,0.0878,-6.48,0.0511,88.967,4
60,2016,Good For You,Revival (Deluxe),Selena Gomez,2015-10-09,221280,64,0.181,0.607,0.673,0.0,0.069,-6.484,0.0611,88.952,4
61,2016,The Feeling,Purpose (Deluxe),Justin Bieber,2015-11-13,244906,61,0.0819,0.525,0.809,1.22e-06,0.0971,-6.185,0.0619,127.073,4
62,2016,Take Your Time,Montevallo,Sam Hunt,2014-10-27,243706,65,0.101,0.558,0.719,0.0,0.212,-5.603,0.0419,158.031,4
63,2016,Homegrown Honey,Homegrown Honey,Darius Rucker,2014-08-25,205146,0,0.125,0.649,0.91,0.0,0.0467,-5.185,0.0569,87.983,4
64,2016,Wagon Wheel,True Believers,Darius Rucker,2013-01-01,298373,77,0.455,0.537,0.66,0.0,0.135,-7.174,0.0296,148.096,4
65,2016,Cop Car,Montevallo,Sam Hunt,2014-10-27,253880,52,0.159,0.606,0.599,0.0,0.0664,-6.501,0.034,76.97,4
66,2016,Make You Miss Me,Montevallo,Sam Hunt,2014-10-27,225693,64,0.158,0.614,0.472,0.0,0.111,-6.626,0.0297,146.005,4
67,2016,Raised On It,Montevallo,Sam Hunt,2014-10-27,235506,49,0.0477,0.59,0.94,0.0,0.379,-4.124,0.0409,94.02,4
68,2016,Drinking Class,I Don't Dance (Deluxe Edition),Lee Brice,2014-09-09,207346,61,0.0886,0.663,0.53,0.0,0.154,-9.763,0.0301,109.003,4
69,2016,LIKE I WOULD,LIKE I WOULD,ZAYN,2016-03-10,192133,41,0.0247,0.565,0.832,0.0,0.26,-5.732,0.114,112.827,4
